review_id,food_sentiment,service_sentiment,overall
55,ถือว่ารสชาติ คุณภาพดีค่ะ ราคากลางๆ ชอบที่ร้านเค้ามีเมนูอื่นๆให้เลือกเยอะ ไม่ว่าจะเป็น ข้าวยำ ขนมจีน กุ้งทอดใบเล็บครุฑ ไข่กระทะ ฯลฯ มาร้านเดียว ครบจบค่ะ,ดีที่ทางร้านบริการดี พาไปที่โต๊ะ แล้วมีวิธีการแจ้งไว้บนโต๊ะค่ะ ถ้าเราจะจองโต๊ะ เราต้องคว่ำป้ายเลขโต๊ะลงในแนวนอนค่ะ พวกติ่มซำ หยิบจากรู้แช่แล้วรอชำระเงินค่ะ อาหารจะมาเสิร์ฟให้ที่โต๊ะค่ะ ส่วนเวลาอื่นๆ สามารถสแกนสั่งค่ะ หรือจะสั่งตอนจ่ายเงินค่าติ่มซำก้อได้ รวมพวกเครื่องดื่มสามารถสั่งตรงนั้นได้เช่นเดียวกัน ,Positive
56,อาหารรสชาติดี หลากหลาย เราขอบสังขยาที่นี่เป็นพิเศษ ชาชักสเลอปี้ก็อร่อย บักกุดเต๋หมูนุ่มมาก,"คนเยอะมากค่ะ แต่ลานจอดรถ(เลยร้านไปหน่อยอยู่ในซอยซ้ายมือ) รองรับรถได้สบายๆ รับบัตรคิวแล้วนั่งรอที่เต๊นท์หน้าร้าน นานแบบรอไหวที่ 20 นาที
ได้โต๊ะแล้วหหยิบถาดไปเลือกติ่มซำ เข่งละ 30฿ เลือกเสร็จเอาไปจ่ายเงินที่เคาเตอร์ได้เลยแล้วนั่งรอที่โต๊ะ เค้าจะไปนึ่งมาให้ค่ะ ใครอยากสั่งอาหารจานเดียว ของกินเล่น เครื่องดื่มก็สั่งและจ่ายเงินที่เคาเตอร์เดียวกันนี้
ส่วนน้ำชาร้อนและน้ำเปล่า(ลอยผักผลไม้) จานช้อนส้อม บริการตนเองตรงที่หยิบถาด",Positive
57,ร้านโกอั๋นเป็นอาหารเช้าที่มีทั้งติ่มซำและอื่นๆเช่นต้มเลือดหมู ไข่กระทะ ชากาแฟให้เลือกทานกันได้อย่างหลากหลาย ติ่มซำที่นี่ราคาไม่แพง คุณภาพดีใช้ได้และอร่อย,คนมาคอยและเข้าต่อคิวรอในทุกเช้า แต่การบริหารจัดการร้านทำได้ดี ตั้งแต่การสั่ง จ่ายตังค์และนำมาเสิร์ฟ ส่วนด้านหลังร้านมีลานจอดรถเยอะพอสมควรเลยครับ,Positive
58,มี น้ำหวานหลากหลายให้เลือก รสชาติอร่อยเลยแหละเพราะของสดวัตถุดิบดีราคาไม่แรงแถมมีของกินเล่นเยอะแยะมีทั้งข้าวก๋วยเตี๋ยวให้เลือกด้วย แนะนำร้านนี้เลย,เป็นร้านที่เลือกทานเป็นร้านแรกที่เข้ามาเที่ยวบางแสนเพราะเห็นป้ายโฆษณาใหญ่เบ้อเร่อ ตรงทางแยก ร้านใหญ่อยู่นะ มีหลายโต๊ะหลายโซนแต่คนก็เยอะไม่แพ้กัน มีที่จอดรถอยู่ด้านหลังพนักงานเยอะมากๆการหยิบติ่มซำสามารถหยิบได้เองจากตู้แล้วเอาไปคิดเงินแล้วให้เขาทำให้รอสักครู่พนักงานจะเอามาส่งน้ำจิ้มผสมเอง ดูแลตัวเอง,Positive
59,อร่อยสมคำร่ำลือ เมนูเยอะมากกกกกก อร่อยทุกอย่าง น้ำจิ้มมีหลากหลายแบบ ที้งจิ๊กโฉ่ว และซอสพริกหวานแบบหาดใหญ่ เมนูอาหารหลักอื่นๆก็เยอะ และอร่อยมาก,ระบบการจัดการดีมาก มีที่จอดรถ เมนูเยอะมากกกกกก อร่อยทุกอย่าง มีชาร้อนและน้ำเปล่าบริการฟรี ,Positive
60,อาหารมีหลากหลายมาก โดยติ่มซำเป็นจุดเด่นของร้าน มีความพิเศษเรื่องพรีเมี่ยมของวัตถุดิบ มีความแตกต่างจากติ่มซำทั่วไปแน่นอน ,"ขับรถผ่านร้านโดยบังเอิญ เห็นคนนั่วรอคิวหน้าร้านเยอะมาก จึงต้องขอทานร้านนี้หน่อย ซึ่งรอคิวนานเพราะคนเยอะจริงๆ สำหรับวิธีการสั่งอาหารให้เลือกสินค้าและส่งที่พนักงาน เพื่อชำระเงินก่อนไปนึ่งและมาเสริฟที่โต๊ะ
",Positive
61,ทุกเมนูอร่อยหมด ไม่ว่าจะเป็นบักกุดเต๋ ติ่มซำทุกอย่าง ที่อร่อยน้อยหน่อยในความรู้สึกเรา คือ ปาท่องโก๋สังขยา หวานไป สั่งน้ำชา+กาแฟ และโกโก้+ชา ,พนักงานเสริฟมาพร้อมกัน หน้าตาเหมือนกันอีก ถามว่าแก้วไหนคือเมนูอะไร พนักงานบอกไม่รู้เหมือนกัน อันนี้ไม่โอเคร ร้านบรรยากาศดี โต๊ะนั่งเป็นแบบโต๊ะกลมเก้าอี้กลม ถ้าสั่งเยอะๆ ก็ล้นโต๊ะ ไม่เหมาะกับพาเด็กเล็กมา ,Negative
62,สุดยอดติ่มซำต้นตำรับของอ่างศิลา นึ่งสดใหม่เข่งต่อเข่ง พร้อมอาหารเช้า ให้อร่อยกันตั้งแต่เช้าในบรรยากาศจีนโบราณสุดเท่ห์   ติ่มซำนึ่งสดใหม่ ราคาเข่งละ 30 บาท ทุกชนิด ที่วัตถุดิบสุดพรีเมียม รับประกันว่าอร่อยทุกไส้ กุ้งที่เป็นไส้เต็มคำปรุงรสมาดีมากๆ กรอบเด้งอร่อยมากๆ เลยหละครับ  ในส่วนของติ่มซำเรียกว่าอร่อยทุกหน้าเต็มที่ขนวัตถุดิบตามชื่อติ่มซำแบบอัดแน่นมาก ,ร้านใหญ่ยิ่งเข้าไปด้านในนี่ราวกับว่าอยู่เมืองจีน ด้วยแสงสีเสียงและการแต่งกายของบริกร,Positive
63,อาหารนึ่ง บางเข่งนึ่งมากำลังพอดี นุ่ม อร่อย บางเข่งนึ่งนานไป แห้งติดถ้วยรอง ทานแล้วแห้งไม่อร่อย ของนึ่งอร่อย ทานได้ ไส้กุ้งเด้งๆ เครื่องดื่มสั่ง โอเลี้ยง/กาแฟโบราณ/ชาชัก หวานน้อย รสชาติดี ,คนรอคิวหน้าร้านแน่น รอประมาณ20นาที คิวรันเร็ว ไปถึงเราต้องไปนำถาดมาหยิบของนึ่งที่ตู้เย็น แนะนำอย่า!!พึ่งหยิบแบบไม่ยั้งคิดเพราะของนึ่งมีมากกว่า30-40เมนู หยิบเพลินไป จะอดของทอด โจ๊ก ไข่กระทะ ฯลฯ ยังมีอีกหลากหลายเมนูที่ต้องสั่งหน้าเคาเตอร์ เครื่องดื่มมีร้อน/เย็น ,Positive
64,อาหารอร่อยทุกอย่างเลย ติ๋มซำเข่งละ 30 บาทเท่านั้น แต่คุณภาพคือดีเกินราคาอยู่นะ พวกก๋วยเตี๋ยวหลอด ฮะเก๋าคือดีงาม ส่วนปาท้องโก๋ทอดก็อร่อยดี แต่สังขยารสแปลกๆหน่อย ,ติ๋มซำชื่อดังในอ่างศิลา บางแสน ชลบุรี เป็นอีกหนึ่งร้านที่ควรแวะ ราคาน่ารัก สมเหตุสมผลมากๆ บรรยากาศโอเค ถึงแม้ว่าคนจะเยอะนิดนึง อาจจะต้องรอคิวบ้าง (ไม่เกินครึ่งชม.) พนักงานบริการโอเค  หยิบที่ตู้แล้วไปจ่ายที่เคาน์เตอร์ได้เลย ร้านนึ่งให้เสร็จจะมาเสิร์ฟให้ที่โต๊ะ ,Positive
65,"เมนฟุ ชุดอาหารเช้า ต้องสั่ง ส่วนติ่มซำ 30 บาททุกเมนู กาแฟ โกปี๋ฉ่ำ เข้มถูกใจ
รวมๆ คือดี เช้านี้ที่อ่างศิลา ","โกอั๋น อาหารเช้า อ่างศิลา
ร้านบรรยากาศโล่ง มีติ่มซำให้หยิบเลือกได้ตามใจ
อุปกรณ์ จาน ช้อนบริการตัวเอง ",Positive
66,"รสชาติมาตรฐาน หากมากับเด็กเล็กหรือคนแก่ก็จะลำบากหน่อย ร้านนี้เหมาะกับวัยรุ่น แฮงค์เอ้ากับเพื่อนๆ
 ",ร้านอาหารเช้าติ่มซำเจ้าดังอ่างศิลา เมืองชลบุรี ร้านนี้ดังในโซเชียลและคิวยาวมาก มื้อนี้มารอเกือบ20คิว ไหนๆมาถึงแล้วก็ต้องรอ ด้านนอกอากาศค่อนข้างร้อน ด้านในยิ่งอบอ้าว คนเยอะ อาหารนึ่งให้เดินไปเลือกหยิบจากตู้แล้วไปจ่ายเงิน ส่วนของทอด ต้ม และเครื่องดื่มแบบหวาน สั่งตอนจ่ายเงิน พนักงานจะไปเสิร์ฟที่โต๊ะ จานชามช้อน เครื่องปรุง น้ำจิ้มบริการตัวเอง น้ำเปล่า ชามีที่จุดบริการตัวเองเช่นกัน อาหารรอไม่นานมากถึงแม้คนจะเยอะ ,Neutral
67,"ติ่มซำเจ้าดัง มีเมนูให้เลือกหลากหลายและเยอะมากๆ ราคากลางๆ แต่รสชาติส่วนตัวรู้สึกธรรมดาไม่ได้ว้าว  เมนูที่คนสั่งกันจะเป็นพวกชาต่างๆ ที่ต้องสั่ง และพวกบักกุดเต๋ ติ่มซำทุกอย่าง
","ร้านคนเยอะมากๆ รอคิวไม่นานประมาณ 20 นาทีก็ได้เข้าไปกินแล้ว
",Positive
68,มาครั้งก่อนบางเมนูรสชาติติดเค็มไปนิด แต่มารอบนี้รสชาติดีขึ้น อร่อยหลายอย่าง วัตถุดิบสดและดี ,-,Positive
69,ขอแนะนำกาแฟเวียดนาม 40 บาท เป็นกาแฟดิป ถ่ายรูปเท่ห์ๆ ซาลาเปาทอด เผือกทอดต้องจัดนะฮะ ดีเยี่ยม ทุกอย่างดีงามแวะมากันให้ได้นะจ๊ะ ,-,Positive
70,"ติ่มซำโดยรวมคือดี ชอบขนมจีบกุ้งเป็นพิเศษ เนื้อแน่นกินกับซอสพริกหรือจิกโฉ่เข้ากันอย่างดี
เมนูเสริมที่ไม่ควรพลาดคือบักกุดเต๋รสชาติยาจีนกำลังดี ไม่ขม ทานได้ทุกวัย หมูนุ่มเลย
และอีกอย่างคือโจ๊กหมูไข่ เนื้อข้าวเนียนๆ หมูรสชาติเข้มข้น กินเข้ากันเป็นอย่างดี
โดยรวมถือเป็นร้านแนะนำให้ไปโดนกันได้ครับ ",ร้านติ่มซำเจ้าดังเจ้าดังแถบบางแสน ขนาดร้านใหญ่ ที่นั้งเพรียบ มีที่จอดรถอยู่ด้านหลังให้บริการ,Positive
71,"อร่อยทุกอย่าง โจ๊กหมูนี่สุดยอด ยิ่งกินกับปาท่องโก๋เข้ากันสุดๆ ติ่มซำก็ดี ชาใต้ก็ดี กาแฟก็งาม
",บริการโคตรดี แต่หาที่จอดรถยากหน่อย ใครผ่านไปมาก็มาลองกันค่ะ ,Positive
72,ตอนเช้าก็ติองกินติ่มซำนี่แหละ ฟินสุด เราสั่งเยอะมาก 555 กินแทบไม่หมดเลยค่ะ ,ร้านตกแต่งได้จีนมากเลย แต่เราว่า มันแอบมืดไปอ่ะค่ะ ในร้านนะ แล้วก็เรื่องของการสั่งอาหาร คือ มันต้องรวมๆ ออเดอร์ของคนในโต๊ะ แล้วก็ไปสั่ง หรือ ถ้าไม่งั้นก็ต้องสั่งหลายๆ ที เพราะที่ริลนเป็นระบบหยิบไปจ่ายที่เค้าเตอร์ ออกจะยากนิดนึง เพราะเรามีคนแก่ และเด็กไปด้วยค่ะ ,Positive
73,อันที่จริงเค้าคือร้านอาหารนั่นแหละนะ แต่เค้าเด่นตรงติ่มซำที่มีหลากหลาย ราคาเราว่าก็ปกติเลยนะ ร้านอื่นก็ประมาณนี้ เราผ่านไปแวะทานตอนบ่าย เลยไม่ได้สั่งพวกอาหารเช้ามาทาน เน้นติ่มซำ หยิบมาเกือบล้นโต๊ะ ติ่มซำสดใหม่ไส้แน่นอร่อยดีค่ะ ที่ต้องไม่พลาดคือบักกุดเต๋ อย่างแรกที่ต้องสั่งทุกครั้ง และที่ชอบสุดๆคือเมนูหวาน ที่เป็นเผือกกวน ด้านล่างเป็นข้าวเหนียวอ่ะ มันฟินมากๆ ต้องทานทุกครั้ง แม้จะอิ่มก็ต้องตบท้ายด้วยจานนี้,-,Positive
74,"รสชาติของอาหารไม่ได้อร่อยขั้นว้าวแต่ก็อยู่ในระดับมาตรฐาน และการ present ทำออกมาได้สวยงาม ราคามิตรภาพสั่งเพลินๆก็อาจจะงบบานต้องกินแบบมีสติ จานที่ชอบคือโจ๊ก กับซาลาเปาไส้หมูแดง
",ร้านติ่มซำเจ้าดังย่านอ่างศิลา ร้านตกแต่งทันสมัยสะอาดสะอ้าน และมีบรรยากาศที่สนุก เป็นแนว self service ลูกค้าสามารถเลือกติ่มซำได้ที่เคาน์เตอร์แล้วก็จากในตู้ได้เลย ,Positive
75,"กาแฟชาอร่อย ชาร้อนฟรีด้วย แต่ นมเย็น โอวัลตินเย็นหวานไปมาก
ติ่มซำใช้ได้อร่อย นึงมาให้ร้อนๆมาเสริฟทีเต็มโต๊ะ
โจ๊กหมูร้านนี้อร่อย แต่วันนี้อดทาน
ปลาท่องโก๋เนื้อแน่นๆจิ้มนมข้นอร่อยมาก ","ร้านติ่มซำที่ต้องมารอคิว มาถึงก็กดบัตรคิวหน้าร้านและรอเรียกได้เลย ใช้เวลารอไม่นานมาก
เข้าไปถึงร้านหลังจากได้โต๊ะนั่งก็หยิบถาดเพื่อเลือกติ่มซำและคิดเงินก่อน ทางร้านก็จะนึ่งและเอามาเสริฟให้ที่โต๊ะ",Positive
76,ด้วยส่วนตัวผมว่า ร้านนี้ ราคาแพงไปนิดเทียบกับเจ้าดังในจังหวัดภาคใต้ ตัวติ่มซำถือว่าดีเลย เนื้อแน่น ซาลาเปาใช้ได้ บะกุ๊ดเต๋เฉยๆ ปาท่องโก๋ใช้ได้เลย ,-,Neutral
77,เมนูติ่มซำราคา25บาททุกจานครับ แต่ละอย่างผมเรียกไม่ถูกเหมือนกันว่าเรียกว่าอะไรบ้าง แต่สำหรับผมไม่ค่อยถูกปากเท่าไหร่ ชอบแค่ปาท่องโก๋จิ้มสังขยา สังขยารสชาติแปลก ไม่เคยทานที่ไหนมาก่อนครับ ตัวปาท่องโก๋อร่อย กรอบ ทำสดใหม่ตลอด,"ติ่มซำรอนานนิดนึงครับเพราะต้องเอาเข้าไปนึ่งใหม่ตลอด ใครที่หิวมากๆอาจจะต้องทำใจนิดนึง
",Neutral
78,รูป|รส|กลิ่น หน้าตาดีเลยทีเดียว เจ้าของแลใส่ใจภาพลักษณ์ร้านค้า ไม่เว้นแม้แต่ถ้วยชามที่ใช้ ลายสวยมุ้งมิ้ง เรียกว่าสายแชะ&แชร์ต้องเป็นปลื้ม ณ จุดนี้ รสชาติติ่มซำก็ดี น้ำราดติ่มซำหอมอร่อยใช้ได้ ไม่เค็มไป ชอบใจตรงน้ำจิ้มซอส ดีงาม จิ้มเพลินอ่ะ (มีซอสสูตรหาดใหญ่ด้วยนะ) เนื้อโจ๊กละมุนสุด ซาลาเปาแป้งหนาไปอ่ะ ไส้น้อยแต่รสดี เลยฝืดคอไปจ้ะ,เมนูจิปาถะทานเล่นทั้งหลาย ส่วนใหญ่ราคากลางๆ ค่อนไปทางมิตรภาพนะ แต่เมนหลักติ่มซำแอบจะแพงไปนิด เมื่อเทียบกับปริมาณต่อเข่ง เห็นว่าเป็นสูตรจากทางใต้ด้วย ,Positive
79,"อาหาร ทั่วไปถือว่าดี  คุณภาพวัตถุดิบดี รสชาติดี   ราคา
เทียบกับรสชาติ วัตถุดิบ รับได้",ระบบบริหารจัดการ สอบตก ตกแบบน่าเปนห่วง อาหารออกช้า เพราะคุณขาดคนคุม สเตชั่นตีกระดิ่งเรียกเสริฟ รอไป 5 นาทีของยังอยู่ ผมต้องเดินไปถามและเสิรฟตัวเอง พนักงานที่ปรุงอาหารขาดประสบการณ์ ติ่มซำในตู้เยนหมด ไม่เติม น้ำแข็งหมดคุณก็ไม่เติม ผมนั่งทานเกือบชั่วโมง ผมได้น้ำแข็งแก้วเดียว เดินไป4 รอบตู้น้ำแข็งคุณว่างทุกรอบ,Neutral
80,ติ่มซำรสชาติอร่อย ,บรรยากาศดี ไม่ต้องบินไกลไปถึงภูเก็ต แนะนำเลยร้านนี้ โกอั๋น ตั้งอยู่อ่างศิลา จ. ชลบุรี ร้านเป็นแบบเปิดโล่ง ไม่มีห้องแอร์ แต่อากาศไม่ร้อน การสั่งอาหารโดยเลือกติ่มซำจากในตู้แช่ และเลือกเมนูอื่นๆเพิ่มได้ที่จุดชำระเงิน,Positive
81,"รวมๆถือว่าเป็นร้านติ่มซำที่รสชาติดีใช้ได้นะ แต่เมนูติ่มซำแอบน้อยไปนิด จะมีชดเชยด้วยเมนูอื่นที่เยอะอยู่ วัตถุดิบติ่มซำถือว่าดี
เมนูที่ชอบ มี ซาลาเปาไส้ครีมทอด ไส้กำลังดีไม่หวานมาก โจ้กหมูใส่ไข่เนื้อโจ้กเนียนใช้ได้ รสชาติดี ปาท่องโก๋+สังขยามาร้อนๆทอดใหม่ๆ กินกับโจ้กก็ดี กับสังขยาก็ได้
ที่เฉยๆ บักกุดเต๋ (กินครั้งที่แล้ว) รสชาติเครื่องยาจีนไม่ค่อยเข้มข้น เครื่องน้อย
รวมๆถือว่าดีนะ ยังมีเมนูอื่นที่น่าลองอีกคราวหน้าจะลองเพิ่ม",-,Positive
82,"ส่วนตัวคิดว่าอร่อยทุกอย่าง ไม่ค่อยต่างจากที่เคยกินที่ภูเก็ตมากนัก
บากุดเต๋ : ถ้วยละ 90฿ รสชาติสมุนไพรไม่แรงเท่าที่กินที่ใต้ แต่ชอบเพราะมันทานง่ายกว่า เนื้อก็เยอะดี เหมาะสมกับราคา
ติ่มซำ : จานละ 25฿ รสชาติโดยทั่วไปอร่อย ชอบสุดคือฟองเต้าหู้ห่อกุ้งทอด 
น้ำชา : อันนี้เมนูฟรี หยิบได้เลย คือชาหอมมากกกก ไม่รู้มีมะลิด้วยรึป่าว แต่ตอนกินเหมือนได้กลิ่นมะลิ ถึงเป็นของฟรีก็เหมือนเอาของที่ดีมาให้กิน เพราะปกติจะเจอแต่ชาธรรมดาๆ",บรรยากาศโอ่โถง ไปเช้าก็ยังได้ต่อคิวอยู่ดี,Positive
83,รีวิวรวมๆนะคะ อร่อยใช้ได้ทุกอย่างค่ะ แต่น้อยกว่าที่คาดไว้ ส่วนตัวคิดว่าราคาแรงไปหน่อยค่ะ นานๆกินทีก็โอเค ,-,Neutral
84,"ร้านนี้ขอบอกว่าอร่อยทุกอย่างที่เลือกมาเลย มีที่เฉยๆอย่างเดียวคือปาท่องโก๋ (เทียบกับร้านรถเข็นที่หัวหินไม่ได้)
ที่ชอบมากคือบั๊กกุดเต๋ หอมเครื่องยาจีนหมูตุ๋นจัดเต็ม อร่อยกว่าร้านดังในภูเก็ตบางร้านอีก",-,Positive
85,"เป็นร้านอาหารเช้าที่ครบเครื่องมากๆ และอร่อยทุกอย่างติ่มซำอร่อยมาก อร่อยและถูกกว่าที่ใต้ บะกุ๊ดเต๋ก็อร่อยและถูกกว่าที่ใต้ ปาท่องโก๋คืออร่อยสุดๆตั้งแต่ที่กินมา โจ๊ะเนื้อดีเนียน หมูอร่อยไม่หวงของ ไข่กระทะ เครื่องดีงามมากๆ
ชานมร้อนนี่เหมือนไปกินที่มาเล ซาลาเปาหิมะก็ดีงามมากๆ ","ร้านตกแต่งสวยงามสะอาดและสวยกว่าที่ใต้ 
 เจ้าของบริการดีมากๆค่ะ",Positive
86,รสชาติ หลายอย่างอร่อยใช้ได้ รอช้าแล้วติ่มซำรสชาติโอเค ก็พอไหว ,"การบริการ คนเยอะ เด็กไม่พอบริการลูกค้า แถมคนนึ่งก็ช้าอีก  อาหารได้ช้ามากกกก ลูกค้าหลายคนนั่งหน้าหงิก ขอเถอะ ไปปรับปรุงการจัดการหลังร้านและหน้าร้านใหม่
",Negative
87,อร่อยเกือบทุกอย่างฮ่ะ แนะนำไม่ได้จริงๆ น่าจะแล้วแต่ใครชอบอะไร น้ำจิ้มดี ผสมเองได้ตามใจ โจ๊กก็เนียนดี ซาลาเปาลาวาไส้ไหลจริง กระเพาะปลาก็ดีนะ ,-,Positive
88,"ติ่มซำ เข่งละ 25 บาท อร่อยนะ...ปลื้มปริ่มกับปลาแซลมอนมาก
ปาท่องโก๋ แป้งอร่อยดี... กินคู่กับสังขยา แต่สำหรับเรามันหวานไป กินปาโก๋เพียวๆก็อร่อยแล้ว",-,Positive
89,มีอาหารหลายอย่าง ทั้งติ่มซำ ของนึ่ง ของทอด โจ๊กหมู กาแฟ ปาท่องโก๋ ไข่กระทะ ครบมาก ทานได้ทุกวัยทั้งเด็กและคนชรา ,-,Positive
90,ติ่มซำเข่งละ​ 25 บาท​ โจ๊ก​ 50อาหารราคาไม่แรงค่ะ​ แต่คุณภาพมากอร่อยประทับใจ​ไปซ้ำจ้าาาา,-,Positive
91,"1 โจ๊กแจ่มมากเนื้อโจ๊กและรสชาติเยี่ยม หมูสับก้อนใหญ่ 5 ก้อนพร้อมไข่ลวกมากำลังดี
2 บะกุ๊ดเต๋ กลิ่นหอมฟุ้ง รสชาติดีไม่หวานมากไป
3 กั้งนึ่งมะนาว กั้งสดดี น้ำซุปเด็ดเปรี้ยวกลมกล่อมดี
4 ปลากระพงนึ่งมะนา ก็เยี่ยม
5 ขนมจีบปู นี่ก็ ok
6 ซี่โครงตุ๋นน้ำแดง ก็รสชาติดี",-,Positive
92,ส่วนตัวรู้สึกว่าไม่โดนเท่าไหร่นัก ติ่มซำแป้งแอบหนาและเยอะ เนื้อสัตว์น้อย ของอร่อยของวันนี้ที่จำได้คือบักกุ๊ดเต๋ น้ำซุปหอมแต่ไม่มีผักเคียงเสริฟมา เนื้อกระดูกหมูนุ่ม ละก็โจ๊กข้าวละเอียดเนียน อร่อยกำลังดีไม่ต้องเติมอะไรก็อร่อยแล้ว ส่วนติ่มซำแทบทุกอย่างอันนี้ขอไม่ให้ผ่านเลยฮะ เทียบกับร้านดังๆทางภาคใต้แล้วยันห่างกันอีกเยอะในเรื่องความอร่อย ,น้องพนักงานของร้านไหวพริบค่อนข้างดีเลยนะ อันนี้ขอชื่นชมจากใจฮะ ,Positive
93,รสชาติอร่อยเลยแหละเพราะของสดวัตถุดิบดีราคาไม่แรงแถมมีของกินเล่นเยอะแยะมีทั้งข้าวก๋วยเตี๋ยวให้เลือกด้วย แนะนำร้านนี้เลย ,พนักงานเยอะมากๆการหยิบติ่มซำสามารถหยิบได้เองจากตู้แล้วเอาไปคิดเงินแล้วให้เขาทำให้รอสักครู่พนักงานจะเอามาส่งน้ำจิ้มผสมเอง,Positive
94,บปูเนื้อนุ่มเด้ง กุ้งนึ่งมะนาวอร่อยกุ้งสด เสี่ยวหลงเปาน้ำซุปรสชาติดี บะกุ๊ดเต๋เข้มข้นเครื่องเยอะ ฟองเต้าหู้ห่อกุ้งดีมาก กรอบๆ เนื้อแน่น คุ้มค่าคุ้มราคา อร่อยกว่าร้านอื่นในบริเวณใกล้ๆ ,-,Positive
95,"วันนี้ เลือกติ่มซำ มีสองอย่าง อยากแนะนำให้ลองสั่ง ห่อหมกปลา อร่อยดีครับ เผ็ดกำลังดี และเต้าหู้ยัดไส้ เต้าหู้นิ่มพอดีเลยครับ
",-,Positive
96,เมนูที่ทางร้านแนะนำ บอกว่าอร่อยต้องลอง คือเมนูชาลาเปาหิมะ อร่อยจริง  ,-,Positive
97,จากที่ชิมหลายๆอย่าง อร่อยหมดอาจจะมีบางอย่างที่แห้งๆเหมือนนึ่งนานไปหน่อย โจ๊กและปาท่องโก๋ก็อร่อย,-,Positive
98,อาหารอร่อยทุกอย่าง ราคาน่ารัก ,บรรยากาศโอเค ต้องรอคิว (ไม่เกินครึ่งชม.) พนักงานบริการโอเค ,Positive
99,ยืนยันอีกเสียงว่าโจ๊กโกอั๋นอร่อยมาก โจ๊กเนียนละเอียดและหมูก็เด้งนุ่ม ทุกอย่างในร้านอร่อยหมด ไม่เคยสั่งอย่างเดียว บักกุดเต๋ที่นี่ก็ขึ้นชื่อเหมือนกันนะ หอมเครื่องเทศมาก เหมือนเดิมแหละ แนะนำให้เอาเพื่อนไปด้วยจะได้กินเยอะๆ ,-,Positive
100,เราสั่งข้าวแกงมันกุ้งมาลองประทับใจสุดๆจนรู้สึกจานเล็กเกิน555 ติ๋มซ่ำอร่อย ราคา25บาททุกเข่ง เราชอบแนวผงกะหรี่และนึ่งมะนาว ฮะเก๋าขนมจีบดีเลย ,ร้านบรรยากาศดี สวยมุมถ่ายรูปเยอะ ไม่ร้อน ชอบระบบงานของที่นี่ไวดี บริการดี เจ้าของหนุ่มมากเดินมาถามถึงรสชาติอาหาร และสอบถามความชอบ ให้ความรู้สึกใส่ใจดี ทางร้านมีที่จอดรถเยอะแต่ไม่พอก้อจอดริมถนนได้ค่ะ,Positive
101,ปูผัดผงกระหรี่สามารถเลือกได้ว่าจะเอาเป็นตัวหรือชิ้น เรากินเป็นชิ้น ชอบค่ะ ใส่ไข่ให้เยอะมาก ในน้ำผงกระหรี่ ขนาดจานก็เลือกได้ว่าจะเอาขนาดไหน เมนูปลากะพงทอดน้ำปลาก็อร่อย ,บรรยากาศร้านดีค่ะ อารมณ์ภัตตาคาร มีแอร์ เย็นสบาย ราคาแพงหน่อย แต่คิดว่าเหมาะกับคุณภาพแล้ว ,Positive
102,วันนี้สั่งปูไข่ผัดผงกะหรี่ ปูสดหวาน ไข่เยอะ เลือกปูได้อยากได้ตัวใหญ่ขนาดไหน ร้านคิดราคาเป็นขีด รสชาติบางเมนูสำหรับเราอาจไม่ได้ว้าว แต่แค่มาทานปูผัดผงกะหรี่ก็คือฟินแล้ว,-,Positive
103,ไม่ได้ทานร้านสมบูรณ์นานมาก กลับมาทานอีกที อาหารก็ยังคงรสชาติคล้ายกับที่เคยทานก่อนหน้านี้ ที่รสจะออกหวานนำแต่ก็เป็นรสชาติที่ทานได้ทั้งครอบครัว ไม่เผ็ดจัดจ้าน ใช้วัตถุดิบมีคุณภาพ, ส่วนการบริการ พนักงานทุกคนยังคงบริการดีเช่นเดิมตั้งแต่พนักงานโบกรถไปจนถึงพนักงานเสริฟในร้าน,Positive
104,"เนื้อปูผัดผงกะหรี่ อร่อยเหมือนเดิม ถึงแม้จะดรอปลงนิดนึงเมื่อเทียบกับกินที่ร้านครับ
- กุ้งอบวุ้นเส้น วุ้นเส้นอร่อยมาก กุ้งเฉยๆ
- ผักกระเฉดผัดกระเทียม อร่อยมากครับ ชอบทุกอย่างในจานนี้
- หมั่นโถวทอด กลางๆครับ",ซื้อดีลวงใน 969 บาท และเลือกไปรับที่ร้านครับ สาขาบรรทัดทอง พนักงานบริการดีทั้งในไลน์@ และหน้าร้านครับ ,Positive
105,วันนี้มาสั่งเนื้อปูผัดผงกระหรี่ เห็ดผัดน้ำมันหอย ปลากระพงผัดขิง เป็นเมนูทานง่ายๆครับ สำหรับมื้อเย็นวันนี้รสชาติโดยรวมกลางๆ,วันนี้บรรยากาศค่อนข้างเงียบเหงาหน่อยนะครับเนื่องจากนักท่องเที่ยวลดลง,Neutral
106,ปูผัดผงกระหรี่รอบนี้ไม่สดนะจ๊ะ อุตส่าห์ตั้งใจมากกินไม่ฟินเลยจ้าสั่งขนาดกลางด้วยเนื้อเละมาก ตามด้วยผัดผักกระเฉดไฟแดง 200 บาท ราคาผัดผักนะเนี่ยย บอกคำเดียวเค็มมาก,ดีอย่างเดียวพนักงานคุณป้าดูแลดีมาก อาจจะไปดึกแล้วไม่มีคนเลย พนักงานเลยดูแลโต๊ะต่อโต๊ะเลย,Neutral
